period,product,revenue,rev_delta_pct,margin_delta_pct
2024-Q1,Electronics,1200000,0,-0.4
2024-Q1,Home,1050000,0,0.2
2024-Q1,Industrial,900000,0,0.1
2024-Q1,Software,950000,0,0.5
2024-Q1,Services,800000,0,-0.1
2024-Q2,Electronics,1250000,4.2,-0.2
2024-Q2,Home,1070000,1.9,0.2
2024-Q2,Industrial,910000,1.1,0.1
2024-Q2,Software,970000,2.1,0.3
2024-Q2,Services,810000,1.2,0.1
2024-Q3,Electronics,1180000,-5.6,-0.5
2024-Q3,Home,1040000,-2.8,0.0
2024-Q3,Industrial,880000,-3.3,0.1
2024-Q3,Software,940000,-3.1,0.2
2024-Q3,Services,780000,-3.7,-0.1
2024-Q4,Electronics,1320000,11.9,-0.3
2024-Q4,Home,1090000,4.8,0.2
2024-Q4,Industrial,910000,3.4,0.1
2024-Q4,Software,980000,4.2,0.4
2024-Q4,Services,820000,5.1,0.1
2025-Q1,Electronics,1280000,-3.0,-0.5
2025-Q1,Home,1080000,-0.9,0.1
2025-Q1,Industrial,900000,-1.1,0.0
2025-Q1,Software,960000,-2.0,0.2
2025-Q1,Services,810000,-1.2,0.0
2025-Q2,Electronics,1260000,-1.6,-0.2
2025-Q2,Home,1060000,-1.9,0.1
2025-Q2,Industrial,880000,-2.2,0.0
2025-Q2,Software,950000,-1.0,0.3
2025-Q2,Services,800000,-1.2,0.0
2025-Q3,Electronics,1330000,5.6,-0.3
2025-Q3,Home,1120000,5.7,0.1
2025-Q3,Industrial,910000,3.4,0.2
2025-Q3,Software,990000,4.2,0.4
2025-Q3,Services,840000,5.0,0.2
2025-Q4,Electronics,1450000,7.4,-0.8
2025-Q4,Home,1200000,6.2,0.2
2025-Q4,Industrial,1030000,5.1,0.3
2025-Q4,Software,1180000,7.3,0.4
2025-Q4,Services,970000,6.6,-0.2
